ProductID,ProductName,Category,SubCategory,Brand,UnitCost,SellingPrice,ReorderLevel,LeadTimeDays,DemandTier
P0001,Wireless Earbuds,Electronics,Audio,Driftwood,31.84,80.74,91,23,Medium Mover
P0002,Bluetooth Speaker,Electronics,Audio,Driftwood,15.01,22.56,107,23,Fast Mover
P0003,Over-Ear Headphones,Electronics,Audio,Solace,49.29,109.45,72,4,Medium Mover
P0004,Soundbar Compact,Electronics,Audio,Veltrix,58.59,147.65,40,3,Medium Mover
P0005,Wireless Mouse,Electronics,Computing,Aurex,26.43,52.39,108,19,Medium Mover
P0006,Mechanical Keyboard,Electronics,Computing,Aurex,43.41,79.0,34,17,Medium Mover
P0007,USB-C Hub,Electronics,Computing,Lumeo,50.62,90.97,83,27,Slow Mover
P0008,Laptop Stand,Electronics,Computing,Marrow & Co,6.58,13.75,92,9,Medium Mover
P0009,Webcam HD,Electronics,Computing,Stratos,4.02,10.15,28,28,Medium Mover
P0010,Phone Case,Electronics,Mobile Accessories,Mellow Goods,10.52,23.03,27,17,Medium Mover
P0011,Fast Charger,Electronics,Mobile Accessories,Veltrix,16.35,29.57,123,6,Slow Mover
P0012,Power Bank 10000mAh,Electronics,Mobile Accessories,Cobalt Supply,27.0,53.35,23,24,Fast Mover
P0013,Screen Protector,Electronics,Mobile Accessories,Aurex,5.41,12.96,33,18,Medium Mover
P0014,Smart Plug,Electronics,Smart Home,Aurex,28.14,57.45,59,23,Slow Mover
P0015,Motion Sensor Light,Electronics,Smart Home,Marrow & Co,32.93,54.43,43,28,Slow Mover
P0016,Smart Thermostat,Electronics,Smart Home,Pelican Run,77.32,161.53,60,17,Medium Mover
P0017,Video Doorbell,Electronics,Smart Home,Hartline,15.73,20.77,107,3,Slow Mover
P0018,Non-Stick Pan Set,Home Goods,Kitchenware,Driftwood,18.3,23.92,100,10,Slow Mover
P0019,Electric Kettle,Home Goods,Kitchenware,Marrow & Co,59.13,136.16,60,9,Medium Mover
P0020,Knife Set,Home Goods,Kitchenware,Northbridge,68.45,128.98,67,25,Medium Mover
P0021,Cutting Board,Home Goods,Kitchenware,Calderon,26.95,46.43,123,24,Slow Mover
P0022,Mixing Bowl Set,Home Goods,Kitchenware,Marrow & Co,71.32,136.5,20,7,Medium Mover
P0023,Folding Table,Home Goods,Furniture,Brightwell,46.22,106.41,46,11,Slow Mover
P0024,Bar Stool,Home Goods,Furniture,Aurex,57.72,83.36,82,9,Fast Mover
P0025,Storage Ottoman,Home Goods,Furniture,Lumeo,39.6,80.48,48,6,Medium Mover
P0026,Bookshelf Compact,Home Goods,Furniture,Calderon,75.6,157.14,105,4,Slow Mover
P0027,Wall Clock,Home Goods,Decor,Marrow & Co,51.08,86.04,47,14,Medium Mover
P0028,Throw Pillow Cover,Home Goods,Decor,Driftwood,17.37,42.74,147,28,Slow Mover
P0029,Table Lamp,Home Goods,Decor,Stratos,12.4,21.86,148,27,Slow Mover
P0030,Picture Frame Set,Home Goods,Decor,Pelican Run,52.87,68.77,22,9,Medium Mover
P0031,Storage Bin Set,Home Goods,Storage,Stratos,15.68,31.27,70,12,Medium Mover
P0032,Vacuum Bags,Home Goods,Storage,Solace,29.0,73.25,115,26,Medium Mover
P0033,Closet Organizer,Home Goods,Storage,Northbridge,57.13,101.28,71,14,Medium Mover
P0034,Shoe Rack,Home Goods,Storage,Northbridge,22.39,43.58,120,19,Fast Mover
P0035,Rain Jacket,Apparel,Outerwear,Veltrix,79.83,131.47,149,24,Medium Mover
P0036,Fleece Vest,Apparel,Outerwear,Northbridge,5.54,9.69,145,4,Slow Mover
P0037,Windbreaker,Apparel,Outerwear,Solace,43.88,82.59,87,25,Slow Mover
P0038,Wool Coat,Apparel,Outerwear,Mellow Goods,61.64,99.17,57,26,Slow Mover
P0039,Running Shoes,Apparel,Footwear,Solace,39.21,101.1,116,11,Slow Mover
P0040,Canvas Sneakers,Apparel,Footwear,Pelican Run,27.7,42.73,22,22,Slow Mover
P0041,Slide Sandals,Apparel,Footwear,Cobalt Supply,28.1,44.58,115,9,Slow Mover
P0042,Ankle Boots,Apparel,Footwear,Brightwell,16.43,36.12,101,10,Slow Mover
P0043,Leather Belt,Apparel,Accessories,Hartline,13.59,23.69,61,5,Medium Mover
P0044,Crossbody Bag,Apparel,Accessories,Hartline,20.6,31.47,79,19,Fast Mover
P0045,Beanie Hat,Apparel,Accessories,Aurex,21.62,30.72,56,29,Medium Mover
P0046,Sunglasses,Apparel,Accessories,Calderon,17.53,29.14,67,18,Medium Mover
P0047,Facial Cleanser,Personal Care,Skincare,Ferro,72.08,176.83,135,13,Fast Mover
P0048,Moisturizer Cream,Personal Care,Skincare,Ferro,75.04,174.16,103,5,Medium Mover
P0049,Sunscreen SPF50,Personal Care,Skincare,Hartline,31.67,79.88,112,20,Medium Mover
P0050,Vitamin C Serum,Personal Care,Skincare,Solace,15.38,30.97,87,3,Medium Mover
P0051,Shampoo Bar,Personal Care,Haircare,Ferro,41.03,62.88,147,10,Fast Mover
P0052,Hair Dryer Compact,Personal Care,Haircare,Northbridge,68.39,147.37,134,24,Fast Mover
P0053,Leave-In Conditioner,Personal Care,Haircare,Solace,23.42,37.87,128,21,Slow Mover
P0054,Resistance Bands,Personal Care,Wellness,Veltrix,71.69,152.02,40,3,Slow Mover
P0055,Yoga Mat,Personal Care,Wellness,Marrow & Co,47.42,92.01,80,18,Medium Mover
P0056,Massage Roller,Personal Care,Wellness,Northbridge,24.62,32.78,36,14,Fast Mover
P0057,Sleep Mask,Personal Care,Wellness,Marrow & Co,75.42,191.57,25,5,Medium Mover
P0058,Notebook Set,Office Supplies,Stationery,Pelican Run,60.57,153.79,65,23,Medium Mover
P0059,Gel Pen Pack,Office Supplies,Stationery,Lumeo,47.07,121.18,86,20,Medium Mover
P0060,Sticky Notes,Office Supplies,Stationery,Cobalt Supply,45.87,115.45,86,10,Medium Mover
P0061,Desk Calendar,Office Supplies,Stationery,Mellow Goods,8.42,13.23,105,25,Slow Mover
P0062,File Folder Set,Office Supplies,Organization,Veltrix,13.79,27.22,36,10,Fast Mover
P0063,Drawer Organizer,Office Supplies,Organization,Brightwell,56.67,125.42,45,5,Fast Mover
P0064,Cable Management Box,Office Supplies,Organization,Aurex,22.73,47.62,76,6,Fast Mover
P0065,Laptop Sleeve,Office Supplies,Tech Accessories,Stratos,64.47,138.29,134,25,Medium Mover
P0066,Wireless Charging Pad,Office Supplies,Tech Accessories,Brightwell,5.13,10.53,105,21,Slow Mover
P0067,Monitor Riser,Office Supplies,Tech Accessories,Pelican Run,38.85,77.91,77,28,Slow Mover
P0068,Laptop Stand Pro,Electronics,Computing,Solace,5.35,7.21,34,24,Medium Mover
P0069,Webcam HD Lite,Electronics,Computing,Ferro,44.36,76.51,72,14,Fast Mover
P0070,Phone Case Plus,Electronics,Mobile Accessories,Solace,77.32,146.48,128,22,Slow Mover
P0071,Fast Charger Mini,Electronics,Mobile Accessories,Ferro,34.67,76.6,71,18,Slow Mover
P0072,Power Bank 10000mAh XL,Electronics,Mobile Accessories,Stratos,78.14,154.03,139,21,Fast Mover
P0073,Screen Protector II,Electronics,Mobile Accessories,Marrow & Co,36.8,51.59,136,25,Medium Mover
P0074,Smart Plug Pro,Electronics,Smart Home,Northbridge,35.98,78.98,77,28,Medium Mover
P0075,Motion Sensor Light Lite,Electronics,Smart Home,Stratos,15.05,24.46,137,18,Slow Mover
P0076,Smart Thermostat Plus,Electronics,Smart Home,Northbridge,17.08,42.96,35,9,Slow Mover
P0077,Video Doorbell Mini,Electronics,Smart Home,Pelican Run,53.6,100.04,95,28,Slow Mover
P0078,Non-Stick Pan Set XL,Home Goods,Kitchenware,Hartline,30.41,69.49,48,16,Slow Mover
P0079,Electric Kettle II,Home Goods,Kitchenware,Stratos,10.07,14.32,104,9,Fast Mover
P0080,Knife Set Pro,Home Goods,Kitchenware,Marrow & Co,29.67,56.49,42,28,Fast Mover
P0081,Cutting Board Lite,Home Goods,Kitchenware,Veltrix,50.42,107.17,115,3,Fast Mover
P0082,Mixing Bowl Set Plus,Home Goods,Kitchenware,Ferro,44.53,97.48,99,25,Slow Mover
P0083,Folding Table Mini,Home Goods,Furniture,Driftwood,75.71,183.78,103,26,Slow Mover
P0084,Bar Stool XL,Home Goods,Furniture,Northbridge,55.14,112.78,120,14,Slow Mover
P0085,Storage Ottoman II,Home Goods,Furniture,Cobalt Supply,32.73,83.45,62,14,Slow Mover
P0086,Bookshelf Compact Pro,Home Goods,Furniture,Stratos,24.1,38.05,149,21,Fast Mover
P0087,Wall Clock Lite,Home Goods,Decor,Cobalt Supply,50.61,87.94,27,28,Slow Mover
P0088,Throw Pillow Cover Plus,Home Goods,Decor,Calderon,55.48,96.69,124,9,Medium Mover
P0089,Table Lamp Mini,Home Goods,Decor,Pelican Run,12.1,26.69,94,26,Fast Mover
P0090,Picture Frame Set XL,Home Goods,Decor,Hartline,59.6,139.73,120,11,Fast Mover
P0091,Storage Bin Set II,Home Goods,Storage,Calderon,46.78,95.84,55,20,Slow Mover
P0092,Vacuum Bags Pro,Home Goods,Storage,Brightwell,22.25,45.72,56,14,Slow Mover
P0093,Closet Organizer Lite,Home Goods,Storage,Hartline,36.03,82.01,118,11,Medium Mover
P0094,Shoe Rack Plus,Home Goods,Storage,Lumeo,32.09,64.01,131,27,Slow Mover
P0095,Rain Jacket Mini,Apparel,Outerwear,Northbridge,27.64,68.11,119,14,Medium Mover
P0096,Fleece Vest XL,Apparel,Outerwear,Hartline,76.81,184.44,47,16,Slow Mover
P0097,Windbreaker II,Apparel,Outerwear,Cobalt Supply,55.11,106.21,130,18,Slow Mover
P0098,Wool Coat Pro,Apparel,Outerwear,Hartline,37.53,63.09,142,23,Slow Mover
P0099,Running Shoes Lite,Apparel,Footwear,Hartline,60.93,141.91,58,15,Medium Mover
P0100,Canvas Sneakers Plus,Apparel,Footwear,Stratos,74.68,191.67,141,7,Slow Mover
